template_id,purpose,source_language,target_language,country_code,korean_text,translated_text,required_fields,approval_required,source_id,review_status,notes
passport_request_vi,passport_request,ko,vi,VN,여권 사본을 {due_date}까지 보내주세요. 이 정보는 {privacy_purpose} 목적으로만 사용됩니다. 준비가 어려우면 {contact_person}에게 알려주세요.,"Vui lòng gửi bản sao hộ chiếu trước {due_date}. Thông tin này chỉ được sử dụng cho mục đích {privacy_purpose}. Nếu bạn gặp khó khăn khi chuẩn bị, vui lòng báo cho {contact_person}.",worker_name|due_date|privacy_purpose|contact_person,true,templates_messages,draft,1순위 베트남어 end-to-end 초안. 사람 검수 후 사용
passport_request_id,passport_request,ko,id,ID,여권 사본을 {due_date}까지 보내주세요. 이 정보는 {privacy_purpose} 목적으로만 사용됩니다. 준비가 어려우면 {contact_person}에게 알려주세요.,"Harap kirim salinan paspor sebelum {due_date}. Informasi ini hanya digunakan untuk tujuan {privacy_purpose}. Jika Anda kesulitan menyiapkannya, beri tahu {contact_person}.",worker_name|due_date|privacy_purpose|contact_person,true,templates_messages,draft,2순위 인도네시아어 메시지 생성 시연 초안. 사람 검수 후 사용
photo_request_vi,photo_request,ko,vi,VN,증명사진을 {due_date}까지 보내주세요. 사진 기준은 {photo_standard}입니다. 이 정보는 {privacy_purpose} 목적으로만 사용됩니다. 문의는 {contact_person}에게 해주세요.,"Vui lòng gửi ảnh thẻ trước {due_date}. Tiêu chuẩn ảnh là {photo_standard}. Thông tin này chỉ được sử dụng cho mục đích {privacy_purpose}. Nếu có câu hỏi, vui lòng liên hệ {contact_person}.",worker_name|photo_standard|due_date|privacy_purpose|contact_person,true,templates_messages,draft,1순위 베트남어 end-to-end 초안. 사람 검수 후 사용
photo_request_id,photo_request,ko,id,ID,증명사진을 {due_date}까지 보내주세요. 사진 기준은 {photo_standard}입니다. 이 정보는 {privacy_purpose} 목적으로만 사용됩니다. 문의는 {contact_person}에게 해주세요.,"Harap kirim foto identitas sebelum {due_date}. Standar foto adalah {photo_standard}. Informasi ini hanya digunakan untuk tujuan {privacy_purpose}. Jika ada pertanyaan, hubungi {contact_person}.",worker_name|photo_standard|due_date|privacy_purpose|contact_person,true,templates_messages,draft,2순위 인도네시아어 메시지 생성 시연 초안. 사람 검수 후 사용
arc_request_vi,arc_request,ko,vi,VN,외국인등록증 앞면과 뒷면 사진을 {due_date}까지 보내주세요. 이 정보는 {privacy_purpose} 목적으로만 사용됩니다. 준비가 어려우면 {contact_person}에게 알려주세요.,"Vui lòng gửi ảnh mặt trước và mặt sau của thẻ đăng ký người nước ngoài trước {due_date}. Thông tin này chỉ được sử dụng cho mục đích {privacy_purpose}. Nếu bạn gặp khó khăn khi chuẩn bị, vui lòng báo cho {contact_person}.",worker_name|due_date|privacy_purpose|contact_person,true,templates_messages,draft,1순위 베트남어 end-to-end 초안. 사람 검수 후 사용
arc_request_id,arc_request,ko,id,ID,외국인등록증 앞면과 뒷면 사진을 {due_date}까지 보내주세요. 이 정보는 {privacy_purpose} 목적으로만 사용됩니다. 준비가 어려우면 {contact_person}에게 알려주세요.,"Harap kirim foto bagian depan dan belakang kartu registrasi orang asing sebelum {due_date}. Informasi ini hanya digunakan untuk tujuan {privacy_purpose}. Jika Anda kesulitan menyiapkannya, beri tahu {contact_person}.",worker_name|due_date|privacy_purpose|contact_person,true,templates_messages,draft,2순위 인도네시아어 메시지 생성 시연 초안. 사람 검수 후 사용
safety_training_notice_vi,safety_training_notice,ko,vi,VN,"{training_date} {training_time}에 안전교육이 있습니다. {location}으로 와주세요. 이 안내는 {privacy_purpose} 목적으로 제공되며, 문의는 {contact_person}에게 해주세요.","Có buổi đào tạo an toàn vào {training_date} lúc {training_time}. Vui lòng đến {location}. Thông báo này được cung cấp cho mục đích {privacy_purpose}. Nếu có câu hỏi, vui lòng liên hệ {contact_person}.",worker_name|training_date|training_time|location|privacy_purpose|contact_person,true,templates_messages,draft,1순위 베트남어 end-to-end 초안. 사람 검수 후 사용
safety_training_notice_id,safety_training_notice,ko,id,ID,"{training_date} {training_time}에 안전교육이 있습니다. {location}으로 와주세요. 이 안내는 {privacy_purpose} 목적으로 제공되며, 문의는 {contact_person}에게 해주세요.","Ada pelatihan keselamatan pada {training_date} pukul {training_time}. Harap datang ke {location}. Pemberitahuan ini diberikan untuk tujuan {privacy_purpose}. Jika ada pertanyaan, hubungi {contact_person}.",worker_name|training_date|training_time|location|privacy_purpose|contact_person,true,templates_messages,draft,2순위 인도네시아어 메시지 생성 시연 초안. 사람 검수 후 사용
counseling_center_guide_vi,counseling_center_guide,ko,vi,VN,"도움이 필요하면 공식 상담 채널인 {center_name}({counseling_center_phone})에 문의할 수 있습니다. 이 안내는 법적 확답이 아니며, 발송 전 담당자 승인이 필요합니다.","Nếu cần hỗ trợ, bạn có thể liên hệ kênh tư vấn chính thức {center_name} ({counseling_center_phone}). Đây không phải là kết luận pháp lý và cần được người phụ trách phê duyệt trước khi gửi.",worker_name|center_name|counseling_center_phone|privacy_purpose|contact_person,true,templates_messages,draft,1순위 베트남어 end-to-end 초안. 공식 상담 채널 안내만 제공
counseling_center_guide_id,counseling_center_guide,ko,id,ID,"도움이 필요하면 공식 상담 채널인 {center_name}({counseling_center_phone})에 문의할 수 있습니다. 이 안내는 법적 확답이 아니며, 발송 전 담당자 승인이 필요합니다.","Jika membutuhkan bantuan, Anda dapat menghubungi kanal konsultasi resmi {center_name} ({counseling_center_phone}). Ini bukan kepastian hukum dan harus disetujui oleh penanggung jawab sebelum dikirim.",worker_name|center_name|counseling_center_phone|privacy_purpose|contact_person,true,templates_messages,draft,2순위 인도네시아어 메시지 생성 시연 초안. 공식 상담 채널 안내만 제공
