test_id,question,expected_source_id,top1_source_id,top2_source_id,top3_source_id,top4_source_id,top5_source_id,hit_at_1,hit_at_3,hit_at_5,mrr,pass_fail,fail_reason
T001,E-9 근로자를 신규로 고용하려면 사업주가 먼저 뭘 확인해야 해?,E9_EMPLOYER_STEP_PRECHECK,E9_EMPLOYER_STEP_PRECHECK,E9_NEW_HIRING_OVERVIEW,E9_EMPLOYER_STEP_NATIVE_RECRUITMENT,work24_employment_permit_application_procedure_step_0001,FORM_EMP_PERMIT_OVERVIEW,True,True,True,1.0,PASS,
T002,외국인 근로자 3명 더 뽑고 싶은데 절차가 뭐야?,E9_NEW_HIRING_OVERVIEW,E9_NEW_HIRING_OVERVIEW,eps_employment_permit_system_intro_procedure_step_0007,CONTRACT_MULTILANG_NE,CONTRACT_MULTILANG_TH,CONTRACT_STANDARD_FIELDS_KO,True,True,True,1.0,PASS,
T003,내국인 구인노력은 언제 확인해야 해?,E9_EMPLOYER_STEP_NATIVE_RECRUITMENT,E9_EMPLOYER_STEP_NATIVE_RECRUITMENT,E9_NEW_HIRING_OVERVIEW,5a13c5ede1a38174_procedure_step_0001,workforce_company_requirements,handoff_questions_template,True,True,True,1.0,PASS,
T004,자동차부품 제조업에서 E-9 채용 가능한지 확인하려면?,E9_ALLOWED_INDUSTRY_MANUFACTURING,E9_ALLOWED_INDUSTRY_MANUFACTURING,E9_EMPLOYER_STEP_NATIVE_RECRUITMENT,foreign_worker_employment_enforcement_제32조,candidate_readiness_9fac98edf6cf16ea,candidate_readiness_22564462b6a67fa0,True,True,True,1.0,PASS,
T005,제조업 사업장이 외국인 근로자 추가 채용 전에 확인할 항목은?,workforce_company_requirements,workforce_company_requirements,foreign_worker_employment_act_제12조,FORM_EMP_PERMIT_OVERVIEW,candidate_readiness_checklist,immigration_act_rules_제76조,True,True,True,1.0,PASS,
T006,고용허가서 발급 신청 전에 필요한 흐름이 뭐야?,E9_EMPLOYER_STEP_WORK_PERMIT_APPLICATION,E9_EMPLOYER_STEP_WORK_PERMIT_APPLICATION,foreign_worker_employment_rules_제18조의2,hrdk_entry_employment_education_procedure_step_0006,immigration_act_rules_제68조의6,FORM_EMP_PERMIT_OVERVIEW,True,True,True,1.0,PASS,
T007,근로계약 체결은 신규 E-9 채용 과정에서 어디에 들어가?,E9_EMPLOYER_STEP_LABOR_CONTRACT,document_requirement_a5b3241f214adc17,E9_EMPLOYER_STEP_LABOR_CONTRACT,H2_EMP_MEDI,foreign_worker_employment_enforcement_제26조의2,E9_EMPLOYER_STEP_NATIVE_RECRUITMENT,False,True,True,0.5,PASS,
T008,사증발급인정서 신청은 언제 하는 거야?,E9_EMPLOYER_STEP_CCVI_APPLICATION,E9_EMPLOYER_STEP_CCVI_APPLICATION,immigration_act_rules_제17조,work24_employment_permit_application_procedure_step_0001,foreign_worker_employment_rules_제14조의3,immigration_act_제79조의2,True,True,True,1.0,PASS,
T009,베트남 E-9 3명 채용 요청서를 만들려면 어떤 정보가 필요해?,workforce_request_template,workforce_request_template,1168eae2b1a6d457_employer_requirement_0001,foreign_worker_employment_enforcement_제32조,candidate_forbidden_policy,E9_EMPLOYER_STEP_NATIVE_RECRUITMENT,True,True,True,1.0,PASS,
T010,신규 인력 요청서에 사업장 정보는 어떤 필드가 들어가야 해?,workforce_request_company_fields,workforce_request_company_fields,workforce_request_template,1168eae2b1a6d457_employer_requirement_0001,workforce_company_requirements,handoff_questions_template,True,True,True,1.0,PASS,
